fish_id	month	origin	length	mass	body_depth	kidney_depth	KB_ratio	qPCR_ddCt	qPCR_sqrt	haematocrit	leukocrit	lymphocyte_count	monocyte_count	granulocyte_count	thrombocyte_count	lymphocyte_concentration_sqrt	monocyte_concentration_sqrt	granulocyte_concentration_sqrt	thrombocyte_concentration_sqrt	SMR_1	SMR_2	SMR_3	MMR_1	MMR_2	MMR_3	SMR_mean	MMR_mean	AS	SMR_std	MMR_std	AS_std	UTT_trial	UTT_temperature	UTT_rank	UTT_degree_sec	UTT_degree_sec_centered
54	september	vainupea	66	3	5.676	2.156	0.37984496124031	1.7473411436	1.32187032026595	0.3029812349	0.0209291768	228	7	153	202	8.31142115147584	1.4563202409841	6.80853353811964	7.82318409918877	3.48124582260334e-07	3.50863812402406e-07	3.5275584542546e-07	1.23553691007836e-06	1.2031399561792e-06	1.31829500558379e-06	3.50581413362733e-07	1.25232395728045e-06	9.01742543917717e-07	1.22357450691291e-07	4.57923451234658e-07	3.35361218957341e-07	utt_04	28.7	1	7313.6457874593	-2168.36725476599
55	september	vainupea	55.5	1.75	4.957	0.721	0.145450877546903	2.8871306424	1.69915586171487	0.3460207612	0.008650519	39	3	23	24	3.67352823410955	1.01885341614974	2.82107736646835	2.88175263837825	1.94627187158114e-07	1.74952491798201e-07	1.86961427587892e-07	8.00045751085047e-07	8.22093621410904e-07	7.62063014284851e-07	1.85513702181402e-07	7.94734128926934e-07	6.09220426745532e-07	1.02761991226075e-07	4.26568730540527e-07	3.23270703542273e-07	utt_04	30	6	10429.6613144132	947.648272187915
56	september	mustoja	64	3.5	6.721	2.321	0.345335515548282	2.9104895023	1.70601568055513	0.3898305085	0.0084745763	NA	NA	NA	NA	NA	NA	NA	NA	2.4411787219177e-07	2.56744251210969e-07	2.90016412525366e-07	1.04482803859519e-06	1.04871464100554e-06	1.14975491714417e-06	2.63626178642702e-07	1.08109919891497e-06	8.17473020272265e-07	8.06222740907581e-08	3.5421654749509e-07	2.74635674776436e-07	utt_06	NA	NA	NA	NA
57	september	vainupea	78	4.6	7.144	0.984	0.137737961926092	2.706785633	1.64523117919641	0.3937098448	0.0075471698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	30.3	8	13455.1211546163	635.286879709189
58	september	vainupea	76	4.35	6.878	1.135	0.165018900843268	0.0625192454	0.250038487837373	0.3554061574	0.0083472454	66	1	34	51	4.84322272752348	0.596159506675856	3.47617740508162	4.25743044892104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	30.5	9	14010.5833167073	1190.74904180019
59	september	vainupea	68	3.4	5.96	2.191	0.367617449664429	1.8459386152	1.35865323581847	0.342001325	0.0163636364	41	0	6	302	3.74460336017047	0	1.43248314126205	10.1628932962026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	30.2	6	12910.5033618117	90.6690869045888
60	september	vainupea	58	2.05	5.086	2.276	0.447502949272513	2.0256231551	1.42324388461711	0.1994890511	0.0218613139	81	5	207	236	4.0197777474756	0.998721810866269	6.42605894601816	6.86144416719979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	29.8	2	11614.9833986951	-1204.85087621201
61	september	vainupea	52	1.5	4.615	1.791	0.388082340195016	6.7569463398	2.59941269132087	0.2788461538	0.0288461538	285	2	124	155	8.91465949058067	0.746787993743874	5.88021454295674	6.57427972016707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	29.7	1	11332.1916228904	-1487.64265201671
62	september	vainupea	76	4.2	7.179	0.866	0.120629614152389	0.0595351639	0.243998286674313	0.2972972973	0.0036036036	51	4	32	207	3.89386211393008	1.0904995136175	3.08439840383826	7.84477791534598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	30.3	7	13272.4811834976	452.64690859049
63	september	vainupea	61	2.2	5.73	1.102	0.192321116928447	2.5770704893	1.60532566456156	0.3275938096	0.0090396274	21	3	42	87	2.62287437777717	0.991353331965955	3.70930451745337	5.33860107473859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	30.1	4	12552.6192945423	-267.21498036481
64	september	vainupea	63	2.4	6.043	0.476	0.0787688234320702	4.75883976433915e-05	0.00689843443423154	0.2916666667	0.0016666667	87	2	18	89	5.03736042019032	0.763762615869617	2.29128784760885	5.0949321228354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	30.1	5	12820.6611611976	0.826886290489711
65	september	mustoja	80	5	7.157	2.642	0.369149084812072	2.2870812672	1.51230991109627	0.2641700241	0.0156727829	125	3	142	122	5.7464121860949	0.890230347887557	6.12471578297312	5.67703645753663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	30.6	10	14293.3517961385	1473.51752123139
66	september	vainupea	57	1.85	4.482	2.066	0.460954930834449	4.3785250281	2.09249253955659	0.2438485245	0.0240740741	37	6	89	358	3.0037302486242	1.2095830467562	4.65859621350681	9.34332766047515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	29.9	3	11935.8464589743	-883.987815932811
67	september	vainupea	69	3.1	6.237	1.455	0.233285233285233	4.8267087821	2.19697719198448	0.2713472486	0.015654649	229	5	134	203	7.8827989908027	1.16479021415876	6.02996942881139	7.42182534595095	3.17128683496008e-07	2.85422881472304e-07	3.0655846120107e-07	1.24936862273301e-06	1.27591242736857e-06	1.30336113443489e-06	3.03036675389794e-07	1.27621406151216e-06	9.73177386122363e-07	1.02832956765993e-07	4.55888971869177e-07	3.54186258591862e-07	utt_06	30.7	11	11919.6493372368	2096.5164167039
68	september	vainupea	49	1.2	3.924	1.707	0.435015290519878	3.1786853839	1.78288681185879	0.1967741935	0.0129032258	188	0	97	118	6.08223218711683	0	4.36887820492858	4.81864657689273	2.04459347907985e-07	2.24360092625908e-07	2.00213387944269e-07	7.09458914269478e-07	7.46964738702205e-07	7.07883039293313e-07	2.09677609492721e-07	7.21435564088332e-07	5.11757954595611e-07	1.60486250314397e-07	5.065791877744e-07	3.48264070589141e-07	utt_06	29.5	3	9213.8748012927	-609.258119240199
69	september	mustoja	80	4.75	7.103	1.777	0.250175981979445	3.6278605799	1.90469435340687	0.3243975904	0.0173076923	138	1	61	66	6.69080469564013	0.569559119319496	4.44839892707477	4.62712015906222	4.91782524175839e-07	4.31851706236128e-07	4.63197533167239e-07	1.86740623466514e-06	1.97855065393316e-06	1.96403888259149e-06	4.62277254526402e-07	1.93666525706326e-06	1.47438800253686e-06	1.08819244925474e-07	5.10522660366329e-07	4.04984091969214e-07	utt_06	30.6	10	11492.5816826129	1669.44876208
70	september	vainupea	53.5	1.7	4.594	1.995	0.434262080975185	0.3071771298	0.554235626606591	0.2332891247	0.0186206897	146	14	157	351	5.83611276503462	1.80722100081866	6.05197427108708	9.0490045181611	1.37289128205117e-07	1.49623869454459e-07	1.49807900479481e-07	7.2272928157452e-07	7.66451955945169e-07	7.29581342483354e-07	1.45573632713019e-07	7.39587526667681e-07	5.94013893954662e-07	8.26662859167914e-08	4.05248545564962e-07	3.21284778136705e-07	utt_06	29.8	6	9634.0031231867	-189.129797346201
71	september	vainupea	55	1.65	4.764	1.883	0.395256087321578	1.9620192304	1.40072096807323	0.328125	0.0203125	124	1	193	237	6.37867541108654	0.57282196186948	7.9578970211985	8.81848201222864	1.6477449859699e-07	1.68811432162801e-07	1.7266405069372e-07	8.21677765850769e-07	8.05103780708907e-07	7.55381825283317e-07	1.68749993817837e-07	7.94054457280998e-07	6.25304463463161e-07	9.83106961990041e-08	4.44441445946059e-07	3.44932866244639e-07	utt_06	30	9	10117.5035348866	294.3706143537
72	september	vainupea	50	1.9	4.781	0.879	0.183852750470613	0.3402135575	0.583278284783516	0.251177394	0.0266875981	185	0	168	542	6.81673073327677	0	6.4959835430826	11.6678253135706	1.43035820076831e-07	1.24653712882905e-07	1.23245149726398e-07	8.25802568517683e-07	8.53729467412638e-07	8.01743753529373e-07	1.30311560895378e-07	8.27091929819898e-07	6.9678036892452e-07	6.72713852470427e-08	4.18685426894483e-07	3.50215910738903e-07	utt_06	29.8	7	9755.9101425016	-67.2227780313005
73	september	vainupea	67	2.9	5.857	2.235	0.381594673040806	2.4872175961	1.57709149896257	0.2470465263	0.0132310759	197	2	52	100	6.97625728317842	0.702917529017452	3.58419019690641	4.97037751383132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_06	29.6	4	9247.7791173245	-575.3538032084
74	september	vainupea	52	1.75	4.932	0.812	0.164639091646391	0.0914494748	0.30240614213339	0.3048387097	0.0177419355	94	2	102	160	5.35302145631792	0.78081842921386	5.57615892791803	6.9838523432272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_06	29.6	5	9384.0974360948	-439.0354844381
75	september	vainupea	58	1.8	4.833	1.383	0.286157666045934	2.5933967663	1.61040267209788	0.1878611111	0.0165444444	154	1	148	287	5.37871835193106	0.43342947650108	5.27289715837508	7.34276098519487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_06	29.8	8	9825.9294591196	2.79653858669917
76	september	vainupea	54.5	1.65	4.472	2.017	0.45102862254025	2.0386701355	1.42782006411872	0.2472456661	0.0274863139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_06	28.9	2	7640.0005710728	-2183.1323494601
77	september	vainupea	60	2.2	5.233	2.951	0.563921268870629	1.6055404611	1.26709923096023	0.2325581395	NA	463	0	93	129	10.3766284788702	0	4.65058135865829	5.47722557464087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	28.8	1	8330.1229349378	-2317.81386184814
78	september	vainupea	63	2.45	5.688	1.256	0.220815752461322	0.0074796092	0.0864847339129861	0.3548346974	0.0284721013	69	11	141	230	4.9480899466966	1.97564715255533	7.07330844325341	9.03393493456755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_07	29.5	1	8926.1672637939	-1791.99172888943
79	september	vainupea	55	1.7	4.833	1.367	0.282847092902959	5.7210425577	2.3918700963263	0.1786987737	0.0155334288	440	1	216	104	8.86721266396606	0.422727777298819	6.21280412689793	4.31099437076877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_07	30.1	5	10598.7414632658	-119.417529417529
80	september	vainupea	56	1.85	5.012	1.906	0.380287310454908	2.935924139	1.71345386252446	0.2625845671	0.0210755956	303	4	149	184	8.91981635636631	1.02486012138243	6.25500603500109	6.95093952976143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_07	30.2	6	11003.6427120601	285.483719376771
81	september	vainupea	53	1.25	4.291	1.637	0.381496154742484	1.0626090009	1.03082927825125	0.1724137931	0.0595611285	320	2	199	368	7.4278135270078	0.587220219508831	5.85750329294828	7.9654426029443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_07	29.9	3	10026.1972105105	-691.96178217283
82	september	vainupea	54	1.45	4.654	1.558	0.334765792866352	9.7147188007	3.11684436581296	0.1721311475	0.0196721311	331	2	253	425	7.54820573530558	0.586738693968618	6.59918027617825	8.55311274843843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_07	29.8	2	9896.176771962	-821.982220721329
83	september	vainupea	53	1.75	4.732	1.894	0.400253592561285	0.6817621293	0.825688881661852	0.2529780564	0.0217084639	160	12	122	122	6.36211356578928	1.74233655669621	5.55547683649208	5.55547683649208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_07	30.5	9	11646.9737785612	928.81478587787
84	september	vainupea	55	1.45	4.683	1.717	0.366645312833654	4.8836504664	2.20989829322528	0.149956718	0.0182588264	436	3	258	161	8.08585982119403	0.670723604773233	6.2200348265906	4.91355590158492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_07	30.3	7	11369.2735459072	651.11455322387
85	september	vainupea	57	1.75	5.342	0.567	0.106140022463497	1.2924031386	1.13683909969705	0.2336065574	NA	199	1	189	25	6.8181892700775	0.483328622574745	6.64466999546253	2.41664311287372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_07	30.4	8	11415.3509886527	697.191995969371
86	september	vainupea	56	1.75	5.435	0.836	0.153817847286109	1.5970240783	1.26373418023728	0.2682926829	0.006504065	129	1	47	145	5.88300570236848	0.517969770256914	3.55102183833048	6.23718197750394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_07	30.5	10	11833.7496030767	1115.59061039337
87	september	vainupea	48	1.1	3.92	1.759	0.448724489795918	5.970907611	2.44354406774259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_07	30	4	10465.3165890432	-252.84240364013
88	september	vainupea	63.5	2.4	5.242	2.988	0.570011446012972	5.3812863601	2.31975997898489	0.2022713507	0.0093397941	119	1	49	267	4.90614825838967	0.449745873466339	3.14822111426437	7.34890812549048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	29	2	8872.9472259303	-1774.98957085564
89	september	vainupea	61.5	2.6	5.689	2.525	0.443838987519775	1.8175906905	1.34818051109634	0.2912172573	0.0138674884	67	1	22	291	4.41718872577344	0.539645492244677	2.53116172154211	9.20566248970165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	30.2	10	11480.0338435656	832.097046779663
90	september	vainupea	60	2.05	5.322	1.647	0.309470124013529	1.286028036	1.13403176145997	0.2833694084	0.0108946609	133	1	25	106	6.1390659971367	0.532324532968376	2.66162266484188	5.48061650641604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	30.1	7	11185.7654205379	537.828623751964
91	september	vainupea	54.5	1.55	4.695	1.616	0.34419595314164	5.2851853175	2.29895309162671	0.1686318368	0.0073028173	177	4	73	212	5.46331722615482	0.821296138551741	3.50857864190045	5.97912614029843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	30.2	8	11301.2046663553	653.267869569363
92	september	vainupea	65	2.65	5.55	2.227	0.401261261261261	4.9081139073	2.21542634887734	0.2227716485	0.0156696429	151	5	43	128	5.79987231958601	1.05539482777774	3.09502518333858	5.33992237846207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	29.7	3	10386.7814186418	-261.155378144136
93	september	vainupea	57	1.7	5.096	0.96	0.188383045525903	0.0836303482	0.289189121856269	0.267656998	0.015756125	109	1	66	251	5.40135286590313	0.517355775071662	4.20301818554238	8.19645694785253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	30	6	10991.8520895457	343.915292759764
94	september	vainupea	57.5	1.8	4.893	2.004	0.409564684242796	2.7438427527	1.65645487493623	0.2272727273	0.0212121212	125	3	60	369	5.33001790921006	0.825722823894314	3.69274472960155	9.15770912257536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	29.8	4	10514.9087080393	-133.028088746636
95	september	vainupea	48	1.2	4.405	1.323	0.300340522133939	1.2011538801	1.09597166026317	0.296875	0.0171875	169	5	80	322	7.08321078325359	1.21834929310112	4.87339717240448	9.77720563351308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	30.3	11	11751.0659423679	1103.12914558196
96	september	vainupea	62	2.9	5.624	2.658	0.472617354196302	3.20260574	1.78958256026371	0.2008194205	0.0144988345	110	2	63	465	4.70001449519041	0.633749825246524	3.55691207250053	9.66338608007048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	30	5	10904.2994623528	256.362665566863
97	september	vainupea	47	1.1	4.084	1.76	0.430950048971596	6.059781608	2.46166236677575	0.0883512025	0.0110113011	225	5	47	369	4.45858952612819	0.664647284279414	2.03776998640671	5.70978053190313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_08	30.2	9	11408.3230523709	760.386255584965
98	september	vainupea	63.6	2.5	5.516	2.401	0.435279187817259	1.4372257718	1.19884351430869	0.2689776358	0.0156795281	363	9	27	198	9.88123887958388	1.55589161646948	2.6948833307956	7.29777855846558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_09	30.4	7	10935.1024759587	213.043833466227
99	september	vainupea	51	1.2	4.197	1.476	0.351679771265189	3.7444813468	1.93506623834948	0.2225755167	0.0476947536	179	9	75	431	6.31197413566469	1.41533729206151	4.08572683282914	9.79438858212701	1.4479289987975e-07	1.470157577984e-07	1.24028893269758e-07	5.41423211342489e-07	5.37239634514016e-07	4.75381300085228e-07	1.38612516982636e-07	5.18014715313911e-07	3.79402198331275e-07	1.06093364718354e-07	3.63740695359979e-07	2.58192672521776e-07	utt_09	29.9	2	9905.4603647058	-816.598277786674
100	september	vainupea	48	1.15	3.946	1.9	0.481500253421186	2.4736946256	1.57279834231856	0.1860465116	NA	220	1	32	2	6.39767399544553	0.431331092781404	2.43997712513868	0.609994281284669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_09	30.5	10	11422.3553099345	700.296667442028
101	september	vainupea	46	1	3.771	2	0.530363298859719	6.0721511657	2.46417352589058	0.1796875	0.028125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_09	30.2	4	10568.2304786436	-153.828163848873
102	september	vainupea	55	1.75	4.651	2.298	0.494087293055257	4.4777723705	2.1160747554139	0.2653235653	0.0218559219	NA	NA	NA	NA	NA	NA	NA	NA	1.87858071480454e-07	1.5859989412967e-07	NA	6.94927021816578e-07	5.91494087344754e-07	6.62833131616008e-07	1.73228982805062e-07	6.49751413592447e-07	4.76522430787385e-07	9.59570910493115e-08	3.48750136145877e-07	2.52857151026973e-07	utt_09	30.1	3	10432.9379835332	-289.120658959273
103	september	vainupea	58	1.9	5.192	1.828	0.352080123266564	0.8854988601	0.94100948990964	0.3389578164	0.0157568238	NA	NA	NA	NA	NA	NA	NA	NA	2.35653331337313e-07	2.18027391529309e-07	2.32365486440857e-07	1.01986854319258e-06	1.06166643430703e-06	1.00736132808218e-06	2.2868206976916e-07	1.0296321018606e-06	8.00950032091437e-07	1.18053682335087e-07	5.2121407617366e-07	4.02573691015744e-07	utt_09	30.5	9	11309.0087993386	586.950156846127
104	september	vainupea	48	1.15	4.139	1.666	0.402512684223242	8.4667731319	2.90977200685896	0.1867176249	0.0157665891	NA	NA	NA	NA	NA	NA	NA	NA	9.92277783227417e-08	1.04091544847732e-07	9.69114381813463e-08	5.73186543719204e-07	4.86182105303611e-07	5.15943923188596e-07	1.00076920450607e-07	5.25104190737137e-07	4.2502727028653e-07	7.94438775572587e-08	3.80064527300733e-07	2.97474256513035e-07	utt_09	30.6	11	11498.2328369163	776.174194423827
105	september	vainupea	48	1.05	3.74	1.981	0.529679144385027	6.6169888546	2.57235084205091	0.1177218979	0.0170034426	NA	NA	NA	NA	NA	NA	NA	NA	9.3635636106304e-08	7.88325073750744e-08	8.88935196459125e-08	4.6288851299618e-07	4.47545945922259e-07	4.32856254042972e-07	8.71205543757636e-08	4.47763570987137e-07	3.60643016611373e-07	7.4766475623082e-08	3.45775879218823e-07	2.68017565028865e-07	utt_09	29.5	1	9063.0739978423	-1658.98464465017
106	september	vainupea	53	1.45	4.728	1.935	0.409263959390863	2.5061244022	1.58307435144405	0.234375	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.11355125883637e-07	1.02642905727343e-07	1.07615850655903e-07	6.92663657636297e-07	7.33169591136507e-07	7.44838072693056e-07	1.07204627422294e-07	7.23557107155287e-07	6.16352479732992e-07	6.97691226023073e-08	4.44014663830609e-07	3.70234394061429e-07	utt_09	30.3	5	10750.6562834838	28.5976409913274
107	september	vainupea	57	1.9	4.943	2.01	0.406635646368602	2.0580420706	1.43458777026712	0.2858737245	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.39860019795914e-07	2.10869379878873e-07	2.31570323767266e-07	8.56470941159017e-07	9.04120537029491e-07	8.75505057728059e-07	2.27433241147351e-07	8.78698845305522e-07	6.51265604158171e-07	1.17408993324012e-07	4.44809564565021e-07	3.27339269108891e-07	utt_09	30.3	6	10842.6489606704	120.590318177927
108	september	vainupea	69	3.1	6.462	0.681	0.105385329619313	0.0140865432	0.118686743994433	0.3138611369	0.0105263158	288	10	17	56	9.50747113733195	1.77161264643262	2.3099002851422	4.19240070441746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_09	30.5	8	11214.93757639	492.878933897528
